Stock Name,Ticker,Trendlyne ID,Research Report URL,MarketCap,Industry Name,Sector Name,BSE Ticker
Federal Bank Ltd,FEDERALBNK,412,https://trendlyne.com/research-reports/stock/412/FEDERALBNK/,6.54E+11,,,
Bajaj Housing Finance Ltd,BAJAJHFL,2607004,https://trendlyne.com/research-reports/stock/2607004/BAJAJHFL/,6.50E+11,Housing Finance,Banking and Finance,544252
Au Small Finance Bank Ltd,AUBANK,54902,https://trendlyne.com/research-reports/stock/54902/AUBANK/,6.50E+11,Microfinance Institutions,Banking and Finance,540611
Bimetal Bearings Ltd,BIMETAL,194,https://trendlyne.com/research-reports/stock/194/BIMETAL/,0,,,
Info Edge India Ltd,NAUKRI,913,https://trendlyne.com/research-reports/stock/913/NAUKRI/,6.44E+11,Internet & Catalogue Retail,Retailing,532777
One97 Communications Ltd,PAYTM,712312,https://trendlyne.com/research-reports/stock/712312/PAYTM/,6.44E+11,Internet Software & Services,Software & Services,543396
Steel Authority Of India Sail Ltd,SAIL,1165,https://trendlyne.com/research-reports/stock/1165/SAIL/,6.41E+11,,,
Bank Of India,BANKINDIA,163,https://trendlyne.com/research-reports/stock/163/BANKINDIA/,6.34E+11,Banks,Banking and Finance,532149
Indian Overseas Bank,IOB,638,https://trendlyne.com/research-reports/stock/638/IOB/,6.31E+11,Banks,Banking and Finance,532388
Alkem Laboratories Ltd,ALKEM,1878,https://trendlyne.com/research-reports/stock/1878/ALKEM/,6.29E+11,Pharmaceuticals,Pharmaceuticals & Biotechnology,539523
Multi Commodity Exchange Of India Ltd,MCX,853,https://trendlyne.com/research-reports/stock/853/MCX/,6.23E+11,Capital Markets,Banking and Finance,534091
Linde India Ltd,LINDEINDIA,791,https://trendlyne.com/research-reports/stock/791/LINDEINDIA/,6.22E+11,Industrial Gases,General Industrials,523457
Oracle Financial Services Software Ltd,OFSS,964,https://trendlyne.com/research-reports/stock/964/OFSS/,6.09E+11,IT Consulting & Software,Software & Services,532466
Sbi Cards And Payment Services Ltd,SBICARD,188792,https://trendlyne.com/research-reports/stock/188792/SBICARD/,6.07E+11,Finance (including NBFCs),Banking and Finance,543066
Indusind Bank Ltd,INDUSINDBK,625,https://trendlyne.com/research-reports/stock/625/INDUSINDBK/,6.07E+11,Banks,Banking and Finance,532187
Dixon Technologies India Ltd,DIXON,60393,https://trendlyne.com/research-reports/stock/60393/DIXON/,6.03E+11,Consumer Electronics,Consumer Durables,540699
L T Finance Ltd,LTF,777,https://trendlyne.com/research-reports/stock/777/LTF/,6.02E+11,Finance (including NBFCs),Banking and Finance,533519
Fortis Healthcare Ltd,FORTIS,424,https://trendlyne.com/research-reports/stock/424/FORTIS/,5.95E+11,Healthcare Facilities,Healthcare,532843
Bodhtree Consulting Ltd,BODHTREE,212,https://trendlyne.com/research-reports/stock/212/BODHTREE/,0,,,
Uno Minda Ltd,UNOMINDA,864,https://trendlyne.com/research-reports/stock/864/UNOMINDA/,5.92E+11,Auto Parts & Equipment,Automobiles & Auto Components,532539
Jindal Stainless Ltd,JSL,696,https://trendlyne.com/research-reports/stock/696/JSL/,5.92E+11,Iron & Steel/Interm.Products,Metals & Mining,532508
Glenmark Pharmaceuticals Ltd,GLENMARK,464,https://trendlyne.com/research-reports/stock/464/GLENMARK/,5.90E+11,Pharmaceuticals,Pharmaceuticals & Biotechnology,532296
Schaeffler India Ltd,SCHAEFFLER,406,https://trendlyne.com/research-reports/stock/406/SCHAEFFLER/,5.88E+11,,,
Adani Total Gas Ltd,ATGL,114071,https://trendlyne.com/research-reports/stock/114071/ATGL/,5.72E+11,Utilities:Non-Electrical,Utilities,542066
Biocon Ltd,BIOCON,197,https://trendlyne.com/research-reports/stock/197/BIOCON/,5.71E+11,Biotechnology,Pharmaceuticals & Biotechnology,532523
Laurus Labs Ltd,LAURUSLABS,4984,https://trendlyne.com/research-reports/stock/4984/LAURUSLABS/,5.63E+11,Pharmaceuticals,Pharmaceuticals & Biotechnology,540222
Bsel Algo Ltd,BSELINFRA,223,https://trendlyne.com/research-reports/stock/223/BSELINFRA/,0,,,
Yes Bank Ltd,YESBANK,1535,https://trendlyne.com/research-reports/stock/1535/YESBANK/,5.61E+11,Banks,Banking and Finance,532648
Abbott India Ltd,ABBOTINDIA,18,https://trendlyne.com/research-reports/stock/18/ABBOTINDIA/,5.59E+11,,,
Suzlon Energy Ltd,SUZLON,1337,https://trendlyne.com/research-reports/stock/1337/SUZLON/,5.59E+11,Heavy Electrical Equipment,General Industrials,532667
Coromandel International Ltd,COROMANDEL,284,https://trendlyne.com/research-reports/stock/284/COROMANDEL/,5.54E+11,,,
Oberoi Realty Ltd,OBEROIRLTY,962,https://trendlyne.com/research-reports/stock/962/OBEROIRLTY/,5.48E+11,Realty,Realty,533273
Phoenix Mills Ltd,PHOENIXLTD,1036,https://trendlyne.com/research-reports/stock/1036/PHOENIXLTD/,5.45E+11,,,
Rail Vikas Nigam Ltd,RVNL,139596,https://trendlyne.com/research-reports/stock/139596/RVNL/,5.43E+11,Construction & Engineering,Cement and Construction,542649
Mrf Ltd,MRF,883,https://trendlyne.com/research-reports/stock/883/MRF/,5.36E+11,,,
Nippon Life India Asset Management Ltd,NAM-INDIA,64356,https://trendlyne.com/research-reports/stock/64356/NAM-INDIA/,5.30E+11,Asset Management Cos.,Banking and Finance,540767
Apl Apollo Tubes Ltd,APLAPOLLO,91,https://trendlyne.com/research-reports/stock/91/APLAPOLLO/,5.27E+11,Iron & Steel Products,Metals & Mining,533758
Idfc First Bank Ltd,IDFCFIRSTB,1786,https://trendlyne.com/research-reports/stock/1786/IDFCFIRSTB/,5.18E+11,Banks,Banking and Finance,539437
Patanjali Foods Ltd,PATANJALI,1157,https://trendlyne.com/research-reports/stock/1157/PATANJALI/,5.09E+11,,,
Jsw Infrastructure Ltd,JSWINFRA,1698179,https://trendlyne.com/research-reports/stock/1698179/JSWINFRA/,5.07E+11,Marine Port & Services,Transportation,543994
Max Financial Services Ltd,MFSL,845,https://trendlyne.com/research-reports/stock/845/MFSL/,5.06E+11,,,
Sundaram Finance Ltd,SUNDARMFIN,1311,https://trendlyne.com/research-reports/stock/1311/SUNDARMFIN/,5.04E+11,Finance (including NBFCs),Banking and Finance,590071
